abacus abako
chancy riski
chandelier aranya
change pagbabago
changeable maiiba
changed nagbago
changes pagbabago
changing pagpapalit
channelled channeled
channelling channeling
chant awit
chanter tagaawit
chanting umaawit
chapel kapilya
chapels kapilya
chaplain kapelyan
chapman magtitingi
chapter kabanata
chapters kabanata
character pagkatao
characterisation paglalarawan
characterise magpakilala
characterised nailalarawan
characterises characterizes
characterising characterizing
characteristic katangian
characteristics katangian
characterization paglalarawan
characterize magpakilala
characters letra
charcoal uling
charge singilin
chargeable pagbabayaran
charged sisingilin
charger magpaparatang
chargers charger
charges singil
charging singilin
chariot kalesa
charioteers karo
chariots karo
charisma karisma
charismatics Karismatiko
charity kawanggawa
charmed nagayuma
chars karakter
chart tsart
charter magpaarkila
chartering charter
charts chart
chary mahiyain
chase habulin
chased hinabol
chaser habol
chasing habol
chasm bangin
chassis tsasis
chaste basal
chasten magparusa
chastening pagsaway
chastise parusahan
chastised pinarusahan
chastisement parusa
chastity kalinisan
chateau kastilyo
chatted chat
chatter satsat
chatterbox daldalera
chatterer nagdadaldal
chattering daldalan
chatty masalita
chauffeur tsuper
chauvinism tsowinisma
chauvinist tsowinista
chauvinistic makatsowinista
chaw nguyain
cheap mura
cheapen papanliitin
cheapest pinakamurang
cheaply mura
cheapness kamurahan
cheat impostor
cheated ginulangan
cheating pagdaraya
check siyasatin
checkers dama
checklists checklist
checkmate pagtalo
checkpoint magsiyasat
checkpoints checkpoint
checkup pagrerepaso
cheek pisngi
cheeks pisngi
cheeky bastos
cheep humuni
cheerfully masiglang
cheerfulness kaligayahan
cheering pagpalakpak
cheery masigla
cheese keso
cheesecloth tsisklos
cheesemaking keso
cheeses keso
cheetah tsite
chefs chef
chemical kimiko
chemicals kemikal
chemise magkamison
chemist kimiko
chemistry kimika
cheque siyasatin
chequebook checkbook
chequebooks checkbooks
chequer checker
chequers dama
cheques checks
cherish magmahal
cherished itinatangi
cherries seresa
cherry seresa
cherubims kerubin
cherubs kerubin
chess ahedres
chest dibdib
chesterfield tsesterpild
chestnut kastanyas
chevalier sewelye
chew nguyain
chewing sapa
chic makisig
chicago Tsikago
chicane panlilinlang
chicanery panlalansi
chick sisiw
chicken manok
chickens manok
chicks sisiw
chicory tsikori
chide magmura
chiding paninisi
chief hepe
chieftain puno
chilblain tsilblein
chilblains alipunga
child anak
childbearing panganganak
childbirth panganganak
childhood pagkabata
Chile Tsile
chilean Tsilian
chili sili
chill ginaw
chilled pinalamig
chills panginginig
chilly maginaw
chimera kimera
chimerical kimeriko
chimney tsimenea
chimpanzee tsimpanse
chin baba
Chinatown Tsinataun
chinese Intsik
chink magpakalansing
chipmunk tsipmank
Chippendale Tsipendeyl
chiropodist kiropodista
chiropody kiropodi
chiropractic kayropraktik
chiropractor kiropraktor
chirp mahuni
chirpy masaya
chisel magpait
chiseled pinait
chiselled pinait
chiselling bakal
chivalrous marangal
chivalry kagalantihan
chlorate klorato
chloride klorido
chloroform kloropormo
chlorophyll kloropila
chock kalso
chocolate tsokolate
chocolates tsokolate
choice pagpili
choices pagpipilian
choir koro
choirs koro
choke sumakal
cholera kolera
choleric magagalitin
cholesterol kolesterol
choose piliin
chooser tagapili
chooses pipili
choosey delikado
choosing pagpili
choosy delikado
chop tumaga
chopped tinadtad
chopper puthaw
chopping pagpuputol
chord kuwerdas
chorea korie
choreographer koreograpo
choreographic koreograpiko
choreography koreograpia
chores atupagin
chorister kantor
chortle halakhakan
chorus koro
chose Pinili
chosen pinili
chow pagkain
christ Kristo
christen pangalanan
christening bautismo
christenings binyag
christian Kristyano
Christianity Kristyanismo
Christianized Binyagan
Christians Kristiyano
CHRISTMAS Pasko
chromatic kromatiko
chrome kromo
chromium kromo
chromosome kromosomo
chronic talamak
chronicle salaysay
chronicler orasan
chronicles alaala
chronograph kronograpo
chronologically magkakasunod
chronometer kronomiter
chrysalis kriselis
chrysanthemum krisantemo
chubbiness burok
chubby mabilog
chuck pagpupukol
chump troso
chunk tipak
church simbahan
churches simbahan
churchman pare
churchyard patyo
churl magdaraya
churlish bastos
churn magbati
chyle kail
cicada kuliglig
cicero Sisero
cicerone giya
cigar tabako
cigarette sigarilyo
cigarettes sigarilyo
cigars tabako
cinch satiyan
cinder baga
Cinderella Sinderela
cinema sinehan
cinemas sinehan
cinematography sinematograpia
cinnamon kanela
cipher sero
Circassian Sekesyan
circle bilog
circling aligid
circuit paligid
circular pabilog
circulate palaganapin
circulates nagpapakalat
circulation sirkulasyon
circulatory gumagala
circumcise tuliin
circumcised tuli
circumcision pagtutuli
circumference kabilugan
circumlocution kaliguyan
circumscribe magtakda
circumspect mahinahon
circumspection ingat
circumstance pangyayari
circumstances kalagayan
circumstantial madetalye
circumvent magdaya
circumvention pagdaraya
circus sirko
cirrhosis sirosis
cirrus sires
cistern sistern
cisterns balon
citadel muog
citation banggit
citations pagsipi
cite sumipi
cited Nabanggit
cites Binanggit
citing sumisipi
citizen mamamayan
citizens mamamayan
citizenship pagkamamamayan
citrate sitrato
citric sitriko
citron sitron
citrus sitrus
cittern sitara
city lungsod
civet sibitket
civic sibiko
civil sibil
civilian sibilyan
civilisation sibilisasyon
civilisations sibilisasyon
civilising civilizing
civility pagkamagalang
Civilization Kabihasnan
civilizations sibilisasyon
civilize magsibilisa
clack pumalatak
clad armas
claim paghahabol
claimants naghahabol
claimed inaangkin
claiming pagtubos
clairvoyance kahulaan
clam kabibi
clamber umakyat
clamorous malinggal
clamoured clamored
clamouring clamoring
clamp salansan
clams tulya
clan angkan
clandestine lihim
clang kalatungin
clank kumalatong
clans angkan
clapped pumalakpak
clapping pumapalakpak
claptrap kalokohan
claret klaret
clarification linaw
clarifications paglilinaw
clarified nilinaw
clarify linawin
clarifying pagpapaliwanag
clarinet klarinete
clarion korneta
clarity kaliwanagan
clashed nagkasagupaan
clashes sagupaan
clasp pagpisil
clasps kawit
class klase
classic klasiko
classical klasiko
classicism klasisismo
classifications klasipikasyon
classified inuri
classifying uuri
classmates kaklase
clatter lumagapak
clause sugnay
clauses clause
claustrophobia klaustropobya
clave nadikit
clavichord klabikord
clavicle balagat
claw mangalmot
claws kuko
clay luad
claymore kleimor
clean malinis
cleaned malinis
cleaner panlinis
cleaning paglilinis
cleanliness kalinisan
cleanness kalinisan
cleans nililinis
cleanse linisin
cleansed nilinis
cleanser maglinis
cleansing hugas
cleanup Maglinis
clear malinaw
clearance pagpapalinaw
clearances clearance
cleared nabura
clearer malinaw
clearest pinakamalinaw
clearheaded matalino
clearing kaingin
clearly maliwanag
clearness linaw
clears nililimas
clearup Linisin
clearway klirwey
cleave biyakin
cleaved kumapit
cleaver puthaw
clef klep
cleft lamat
clematis klematis
clemency awa
clement mahabagin
clergy pari
clergyman pari
clerk klerk
clever matalino
clew kidkid
cliche klisey
clients kliyente
cliff talampas
climate klima
climates klima
climatic klimatiko
climatology klimatolohiya
climax rurok
climb umakyat
climbed umakyat
climbing akyat
climbs umaakyat
clinch magpapirmi
cling kumapit
clinging nakakapit
clinic klinika
clinics clinic
clink pakalansingin
clinker klinker
clinking kalansing
clip klip
clipped pinutol
clipper pamputol
clipping pinagtabasan
clique grupo
cliques pangkatin
cliquey pantangi
clitoris klitoris
cloaca kloeyka
cloak balabal
clobber gumulpi
cloche gora
clock orasan
clocks Orasan
clod kimpal
clog bara
clogged barado
clogs klags
cloister magmadre
cloned kopya
clones panggagaya
close malapit
closed sarado
closely malapit
closeness pagkakalapit
closes magsasara
closest pinakamalapit
closets closet
closing pagsasara
closings pagsasara
closure pagsasara
closures pagsasara
cloth tela
clothe damitan
clothed nararamtan
clothing damit
clots pamumuo
clotting pamumuo
cloud ulap
clouded dumidilim
cloudy maulap
clout pumalo
clove sibuyas
clover klouber
clown payaso
clownish komiko
clowns payaso
club samahan
clubbing paggarote
cluck kurok
clue bakas
clues pahiwatig
clump tigkal
clumsiness kaasiwaan
clumsy malamya
cluster kumpol
clustered tinipong
clusters tumpok
Clyde Klaid
coached coach
coaching Pagtuturo
coachman kutsero
coadjutor katulong
coagulate pamumuo
coagulation pamumuo
coal karbon
coalescence pagkakasama
coaling koaling
coalition koalisyon
coals bagang
coarse magaspang
coarseness pagkabastos
coast baybayin
coastlands pulo
coasts hangganan
coat sako
coated pinahiran
coating patong
coatings Pintura
coax sumuyo
coaxing paghihimok
cob pumalo
cobalt kobalt
cobble magbato
cobra ulupong
cobweb sapot
coca koka
cocaine kokaina
cochineal kotsinil
cochlea kokli
cock titi
cockade kokeid
cockatoo kokatu
cockatrice koketris
cockcrow talaok
cocked bigla
cockerel katyaw
cockiness kabastusan
cocking nagkakasa
cockle kokel
cockney kokni
cockpit sabungan
cockroach ipis
cockroaches ipis
cockswain koksen
cocktail kaktel
cocky bastos
coco niyog
cocoa kakaw
cocoanut niyog
coconut niyog
cod bakalaw
coddle palayawin
codeine koudin
coder tagapagkodigo
codfish bakalaw
codification pagkukudigo
codify magsistema
coding pagkukudigo
coefficient koepisyent
coerce pumilit
coerced pinilit
coercion pagpipigil
coercions PAMUMUWERSA
coercive pumipilit
coeval kagulang
coffee kape
coffees kape
coffer kaha
cofferdam koperdam
coffers pananalapi
coffin kabaong
cogency pagkamabisa
cognac konyak
cognate magkaugnay
cognisance pagkamalay
cognisant nababatid
cognition katalusan
cognizance pagkamalay
cognizant nababatid
cognomen palayaw
cohere magkadikit
coherent magkakaugnay
cohesion pagkakaisa
cohort pangkat
cohorts kasapakat
coif maggora
coiffure koypyur
coil likawin
coiled nakapulupot
coiling likid
coin barya
coinage likha
coincide makatulad
coincided kasabay
coincidence pagkakataon
coincident nagkakatulad
coined likha
coitus pagtatalik
coke kouk
cola koula
colander salaan
cold malamig
coldness kalamigan
colds sipon
cole koul
colic apad
colitis kolaitis
collaborate magtulungan
collaborating nakikipagtulungan
collaboration pakikipagtulungan
collaborations pakikipagtulungan
collaborative Tulungang
collaboratively samang
collaborator katulong
collaborators collaborator
collage kolahe
collages collage
collapse pagbagsak
collapsed pinaliit
collar tubong
collarbone balagat
collate maghambing
collation paghahambing
colleague kasamahan
colleagues kasamahan
collect mangolekta
collected tinipon
collecting pagkolekta
collection koleksyon
collectivism kolektibismo
collectivity kapanlahatan
collector kolektor
collects nangongolekta
college kolehiyo
colleges kolehiyo
collegues kasamahan
collet kolit
collide mabangga
collided bumangga
colliding nagbabanggaan
collie koli
collier magmimina
collision banggaan
colloidal koloidal
colloquial palasak
colloquy pakikipagniig
collude makipagsabwatan
collusion sapakatan
Colombia Kolombya
Colombian Kolumbyano
colon tutuldok
colonel koronel
colonial kolonyal
colonialism kolonyalismo
colonialist kolonyalista
colonies kolonya
colonisation kolonisasyon
colonise kolonisahan
colonised colonized
colonisers mananakop
colonising colonizing
colonist kolono
colonization kolonisasyon
colonize kolonisahan
colonnade koloneid
colons tutuldok
colony kolonya
Color Kulay
coloration kulay
colorful makulay
coloring pangkulay
Colors Watawat
colossal napakalaki
Colosseum Kolosiem
colour kulay
colouration kulay
colourful makulay
colourfully colorfully
colouring pangkulay
colourings colorings
colours watawat
colt bisiro
column haligi
columnist tagapamahala
columns haligi
comatose komatos
comb suklay
combat lumaban
combatant panlaban
combated masugpo
combating Pagpipigil
combative panlaban
comber tagapagsuklay
combination kombinasyon
combinatorial kombinatoryal
combine pagsamahin
combined pinagsama
combing pagsusuklay
combining Kombinasyon
combs suklay
combustibles gatong
combustion pagkasunog
come dumating
comeback bumalik
comedian komedyante
comedians komedyante
comedies Komedya
comedy komedya
comeliness kagandahan
comer kanto
comes dumating
comest nanggaling
comet kometa
cometh dumarating
comets kometa
comfort aliw
comfortable maginhawa
comfortably matiwasay
comforted maaliw
comforting umaaliw
comfy umaliw
comic nakakatawa
comical nakakatawa
comics komiks
coming pagdating
comma kuwit
command utos
commandant komander
commanded iniutos
commandeer kumpiskahin
commander kumander
commanders kumander
commanding namumuno
commandment utos
commandments utos
commands utos
commas kuwit
commemorate magpaalaala
commemorating paggunita
commemoration pagdiriwang
commemorative pangunita
commence umpisahan
commenced nagsimula
commencement umpisa
commend purihin
commendation papuri
commends pinapurihan
commensurate katapat
comment puna
commentaries komentaryo
commentary komentaryo
commentator komentarista
commentators komentarista
commented Nagkomento
commenting pagkomento
commerce komersyo
commercial komersyal
commercialisation commercialization
commercialise kalakalin
commercialised commercialized
commercially komersyo
commercials patalastas
comming pagdating
commiserate makiramay
commiseration pagdamay
commissar komisar
commissariat komisaryo
Commissary Kinatawan
commission komisyon
commissionaire mensahero
commissioned Inatasan
commissioner komisyonado
commissions komisyon
commit magkasala
commitment pangako
commitments commitment
commits nagkakasala
committed nakatuon
committee komite
committees komite
committeth nagkakasala
commode komoud
commodious maluwang
commodity kalakal
commodore komodoro
common pangkaraniwan
commonly karaniwan
commonplace pangkaraniwan
commonwealth komonwelt
commotion pagkakagulo
commune pakikipagniig
communed inihinga
communicant tagapagbalita
communicates nagpapabatid
communications komunikasyon
communicator tagapagbalita
communing makipagsalitaan
communism komunismo
communist komunista
communistic komunista
communists komunista
communitarian komunitaryan
communities komunidad
community komunidad
commutator komutator
commute magbawas
commuted ibinaba
compact kasunduan
compacted siksik
compacting Sinisiksik
compactness limit
compacts pakikipagkasundo
companies kumpanya
companion kasamahan
companionship pagsasama
company kompanya
companys kumpanya
comparable maihahambing
comparative sapat
comparatively medyo
compare ihambing
compared kumpara
compares pinagkukumpara
comparing paghahambing
comparison paghahambing
comparisons paghahambing
compartment kompartimento
compass kumpas
compassing nakalibid
compassion pakikiramay
compassionate mahabagin
compassionately pagkahabag
compatriot magkababayan
compatriots kababayan
compel pilitin
compelled pipiliting
compelling nakakahimok
compendious kompendyus
compendium kompendyum
compensate pagpunan
compensated bayad
compensation kabayaran
compensator nagpapasahod
compere kompir
compete makipagpaligsahan
competence kagalingan
competency kagalingan
competent maaasahan
competes nakikipagkumpetensya
competing pakikipagkumpitensya
competition kumpetisyon
competitions kumpetisyon
competitively mapagkumpitensya
competitors kakumpitensya
compilation pagtitipon
compiler tagatala
compilers compiler
complacent kampante
complain magreklamo
complainant nagrereklamo
complained nagreklamo
complaining nagrereklamo
complaint reklamo
complaints reklamo
complaisance paggalang
complaisant mapagbigay
complementary kakontra
complemented kinumpleto
complementing umaayon
complements Papuri
completed nakumpleto
completely ganap
completeness kaganapan
completes nakatapos
completing pagkumpleto
completion pagtapos
complexities pagkakumplikado
complexity kaguluhan
compliance pagsunod
complicate makapagpalubha
complicated kumplikado
complication pagkamagulo
complications komplikasyon
complice sabwatan
complicity pakikipagsabwatan
compliment papuri
compliments papuri
comply sumunod
complying sumusunod
component bahagi
compose sumulat
composed tahimik
composer kompositor
composers kompositor
composite pinaghalo
composition komposisyon
compositions komposisyon
compositor tagalimbag
compound tambalan
compounded payak
comprehend intindihin
comprehended nauunawaan
comprehensive komprehensibong
compress pumiga
compressible napipiga
compressing pigain
compression pagpiga
compressions compression
compressor tagapiga
comprise masaklaw
comprised binubuo
comprises Binubuo
compromise pagbibigayan
compromised nakompromiso
compromising kompromiso
comptroller tagasiyasat
compulsion pamimilit
compulsive mapilit
compulsory sapilitan
compunction pagsisisi
computable nakukuwenta
computation pagtutuos
compute magkuwenta
computed nakalkula
computerisation computerization
computerise ikompyuter
computerised nakakompyuter
computerized nakakompyuter
comrade kasamahan
comradely palakaibigan
comradeship pakikisama
con salungat
concatenate pagdugtungin
concatenation pagdudugtong
concave malukong
concavity bangkong
conceal magkanlong
concealed lingid
concealing pagtatago
concealment pagkatago
concede umamin
conceit pagmamagaling
conceited mayabang
conceivably naiisip
concentrated puro
concentric konsentriko
concept konsepto
conception paglilihi
conceptualised conceptualized
concernment kaukulan
concerns alalahanin
concert konsiyerto
concertina konsertina
concerto konsiyerto
concessions konsesyon
conciliate papagkasunduin
conciliation pagkakasundo
conciliator tagapagkasundo
concise maigsi
conclave pagtitipon
conclude tapusin
concluded Napagpasyahan
concludes naghinuha
conclusion konklusyon
conclusions pagpapalagay
concoct magtimpla
concomitant kakabit
concord pagkakasuwato
concordance kasunduan
concordant kasundo
concords pagkakaunawaan
concourse kalipunan
concourses lipumpon
concrete kongkreto
concretion pagtigas
concubinage pakikiagulo
concubine babae
concupiscence kamunduhan
concur pagsabayin
concurrence kasunduan
concurrent magkasabay
concurrently Kasabay
concuss kalugin
concussion pagkakalog
condemn isumpa
condemnatory nakakatuligsa
condemned nahatulan
condemning pagkondena
condensation paghalay
condense magpalapot
condensed letse
condenser pampalapot
condescend magpakababa
condescension paglait
condign kondayn
condiment pampalasa
condition kalagayan
conditioned nakakondisyon
conditioners Conditioner
conditions kundisyon
condole makiramay
condolence pakikiramay
condolences pakikiramay
condoles nakiramay
condone magpatawad
condoned kinukunsinti
condones kumukunsinti
condoning kinukunsinti
condor kondor
conduce tumulong
conductance kondaktans
conducted isinasagawa
conducting pagsasagawa
conduction pagpapadaloy
conductive kondaktibo
conductivity kondaktibiti
conductor konduktor
conductress konduktora
conducts nagsasagawa
conduit tubo
cone kono
cones cone
confection matamis
confectionery kendi
confederate samahan
confederation kompederasyon
confer maggawad
conference pagpupulong
conferment paggawad
conferred Iginawad
conferring paggagawad
confessed ipinagtapat
confessing ipinahahayag
confessional kumpisalan
confessionals kumpisalan
confessor kompesor
confetti konfeti
confidante katiwala
confide magtiwala
confided ipinagtapat
confidence pagtitiwala
confident nagtitiwala
confidential kompidensyal
confidentially palihim
confidently lubos
configurations kumpigurasyon
configure isaayos
configured isinaayos
confine ikulong
confined limitado
confinement pagkakulong
confines paligid
confirm patunayan
confirmed nakumpirma
confirming nagpapatunay
confirms Kinukumpirma
confiscate kumpiskahin
confiscated hamig
confiscating kumpiskahin
confiscation kumpiska
conflicting magkakontrahan
conflicts kasalungat
confluent kadaloy
conform tumalima
conformable masunurin
conformation tulad
conformed katulad
conforming matularin
conformist katulad
confound malito
confront harapin
confrontation paghaharap
confronted hinarap
confronting kinakaharap
confuse malito
confused naguguluhan
confusing nakalilito
confusion pagkalito
confute pasinungalingan
congeal lumapot
congealed namuo
congeniality kawilihan
congenital katutubo
conger kondyer
congest magsikip
congestion kasikipan
conglomerate kalipunan
congratulate bumati
congratulated binati
congratulation pagbati
congratulations pagbati
congratulatory bumabati
congregation kongregasyon
congress kongreso
congressional pakongreso
congressman diputado
congruence pagkapareho
congruent kapareho
congruous katulad
conic alimusod
conical alimusod
coniferous koniperus
conjectural palagay
conjoint magkakabit
conjugate banghayin
conjugation banghay
conjunct kondyangt
conjunction kasabay
conjunctive kondyangktibo
conjuncture kondyanktyur
conjuration salamangka
conjure manawagan
conjurer salamangkero
conjuror kondyuror
conk pagtirik
connect ikabit
connected konektado
connecting pagkonekta
connection koneksyon
connections koneksyon
connectivity pagkakakonekta
connectors konektor
connects uugnay
connexion pagkakakabit
connivance pakikipagsabwatan
connoisseur kritiko
connotation kahulugan
conquer mapaglabanan
conquered nasakop
conquering mapanakop
conqueror manlulupig
conquers magtagumpay
conquest pagsakop
conquests pananakop
cons kahinaan
consanguineous kalipi
conscience budhi
consciences konsiyensya
conscientious matapat
consciously sinasadya
consciousness malay
conscript konskript
consecrated benditado
consecrating paglalaan
consecration pagtatalaga
consecutive magkakasunod
consensual napahintulutang
consensually ayunan
consensus pinagkaisahan
consented pumayag
consenting pumayag
consents pahintulot
consequence kalalabasan
consequences kahihinatnan
consequent bunga
consequential kinahihinatnan
conservation pagtitipid
conservatism pagkakonserbatibo
conservative konserbatibo
conservatively konserbatibong
conservatoire konserbatwa
conservator konserbator
conservatory konserbatoryo
conserve pangalagaan
conserving pagtitipid
considerable malaki
considerably malaki
considerate maalalahanin
considered itinuturing
consign ipagkatiwala
consignment inangkat
consist binubuo
consisted Binubuo
consistently patuloy
consistory konsistori
consists Binubuo
consolation aliw
consolatory pakonsuwelo
consoled maaliw
consoles console
consolidated pinagtibay
consolidating sama
consolidation pagpapatatag
consonance kaayunan
consort abay
consortium kasunduan
conspicuously tahasan
conspiracy pagsasapakatan
conspirator kasabwat
conspiratorial masabwat
conspiring pakikipagsabwatan
constable pulis
constancy tiyaga
constant palagian
constantly patuloy
constellation konstelasyon
constellations konstelasyon
consternation pangingilabot
constipated tinitibi
constituency konstityuwensya
constituent manghahalal
constituents nasasakupan
constitute bumubuo
constituted binubuo
constitutionalism konstitusyonalismo
constitutions Konstitusyon
constitutive konstityutibo
constrain mapilitan
constrained napilitan
constraint pagpilit
constraints hadlang
constrict humapit
constriction pagsisikip
constrictor tagapgpasikip
construct tayuan
constructed itinayo
constructing paggawa
construction konstruksyon
constructive nakabubuo
constructor tagapagbuo
construe ipakahulugan
construed ipakahulugan
consul konsul
consular konsulado
consulate konsulado
consulates konsulado
consulship konsulship
consult kumonsulta
consultant kasangguni
consultants tagapayo
consultation konsultasyon
consultations konsultasyon
consultative pakonsulta
consulted konsulta
consume ubusin
consumed natupok
consumer mamimili
consumers mamimili
consummate malubos
consummately ganap
consummation pagkatupad
consumptive natutuyo
contagion lalin
contagious nakakahawa
contain may
contained nakapaloob
container lalagyan
containers lalagyan
contaminate mahawa
contaminated nahawahan
contamination karumihan
contemn umalipusta
contemned hinamak
contemplated pagisipan
contemporaneity kapanahunan
contemporaneous kaalinsabay
contemporaries kasabayan
contemporary magkapanabay
contemptible napakahamak
contemptuous mapanlait
contemptuously palait
contend makipaglaban
contended nakipagtalo
contender kalaban
contending makipaglaban
contends Iginigiit
content nilalaman
contented nasisiyahan
contention pagtatalo
contentions pagtatalo
contentious palatutol
contentiously nakikipagtalo
contentment kapanatagan
contents nilalaman
contest paligsahan
contestant kalaban
contestants contestant
contested tinututulang
contests Paligsahan
context konteksto
contexts konteksto
contextual listing
contextually makahulugang
contiguity pagkamalapit
contiguous magkalapit
continence kalinisan
continent kontinente
continental kontinental
continents kontinente
contingent nababatay
continual patuloy
continually palagi
continuance pagpapatuloy
continuation pagpapatuloy
continue magpatuloy
continued patuloy
continues patuloy
continueth nagpapatuloy
continuing patuloy
continuity pagpapatuloy
continuously patuloy
contort mapangiwi
contortion pagbali
contortionist kontorsyonista
contour tabas
contra kontra
contraband kontrabando
contraceptives Contraceptive
contract kontrata
contracted kinontrata
contractible napapaikli
contractile nagpapaikli
contracting pagkontrata
contraction pagliit
contractions contraction
contractor kontratista
contractors kontratista
contracts kontrata
contractually kontratang
contradict sumalungat
contradicted sumalungat
contradicting magkasalungat
contradiction pagkakasalungatan
contradictions kontradiksyon
contradictory kasalungat
contradicts sumasalungat
contradistinction pagkakaiba
contraindication kontraindikasyon
contralto kontralto
contraption pagkakagawa
contrapuntal kontrapuntado
contrariety pagtututol
contrariwise paurong
contrary salungat
contrast kaibahan
contravene labagin
contravention paglalabag
contretemps kasalimuutan
contribute tumulong
contributed ambag
contribution kontribusyon
contributions kontribusyon
contributor kontribyutor
contributory abuloy
contrite nagsisisi
contrition pagsisisi
contrivance pagkakagawa
contrive magbalak
control kontrol
controllable mapigil
controlled kontrolado
controller magsusupil
controlling pagkontrol
controls kontrol
controversial pinagtatalunan
controversies Kontrobersiya
controversy makipagtalo
controvert pasinungalingan
contumacious suwail
contumacy suwail
contumely paglapastangan
contuse magpasa
contusion pasa
conundrum palaisipan
convalescence pagpapagaling
convection kombeksyon
convenience kaginhawahan
conveniences kaluwagan
convenient maginhawa
conveniently Maginhawang
convent kumbento
convention kombensyon
conventional maginoo
conventionalism kombensyonalismo
conventionalist konbensyonista
conventionality kalarakan
conventions kombensiyon
convento kumbento
conventual monghe
converge matipon
convergence tagpo
converging nagtatagpo
conversant nakakaunawa
conversationalist mapagusap
conversed usap
conversely pasalungat
conversing usap
converters converter
convertibility palitan
convertible mapapalitan
convertor converter
converts nagpalit
convex umbok
convexity katambukan
convey ihatid
conveyance padala
convict preso
convicted nahatulan
convicting sumumbat
convictions paninindigan
convince mapapaniwala
convinced kumbinsido
convivial pamista
conviviality kasayahan
convocation kumbokasyon
convocations pagpupulong
convolution kahukutan
convolve kulubutin
convulse mangatal
convulsion pagkisay
convulsions kombulsyon
convulsive nangagatal
cony kuneho
coo kurukutok
cook tagapagluto
cooked luto
cooker kusinilya
cookery pagluluto
cooks nagluluto
cool lumamig
cooled pinalamig
cooler palamigan
coolers Cooler
cooling paglamig
coolness lamig
cools lumamig
coon tuso
coop kulungan
cooperate tumulong
cooperated nakipagtulungan
cooperating pakikipagtulungan
cooperation pakikipagtulungan
cooperative matulungin
cooperatives kooperatiba
coordinate koordinado
coordinating koordinasyon
coordination koordinasyon
coordinators coordinator
cop pulis
cope makaya
coped nakayanan
Copenhagen Kopenhage
copied kinopya
copier panipi
copiers Copier
copies kopya
coping pagkaya
copper tanso
coppery malatanso
coppice gubat
copra kopra
copse kandado
Coptic Koptiko
copulate maghindot
copulation pagsasama
copy kopya
copying kopya
copyist mangongopya
coquet maghaliparot
coquetry pagkamalimbang
coquettish makiri
coral koral
coralline koralan
cord kurdon
corded pugal
cordial magiliw
cordiality katapatan
cordially pataimtim
Cordilleras Kordilyeras
cordite kordit
cordon kordon
cords gapos
corduroy korduroy
core ubod
cores core
coriander koriandro
corinth Corinto
Corinthian Korinpano
Corinthians Corinto
cork tapunan
corked tinapunan
corkscrew tirabuson
cormorant korbehon
corn mais
cornea kornea
corned atsara
corner sulok
cornered pansulok
corners sulok
cornerstone pundasyon
cornet korneta
cornice kornisa
cornstarch gawgaw
cornucopia kornukopya
corny mabutil
corolla talutot
corona korona
coronal korona
coronation koronasyon
corporal korporal
corporation korporasyon
corporations korporasyon
corporeal panlupa
corps pangkat
corpse bangkay
corpses bangkay
corpulence katabaan
corpulent mataba
corpus korpus
corpuscle korpuskulo
corral kural
correct tama
corrected naitama
correcting pagwawasto
correction pagwawasto
correctional koreksyonal
corrections pagwawasto
correctly wasto
correctness kawastuhan
corrector korektor
corrects nagtutuwid
correlate magkaugnay
correlates magkakaugnay
correlation ugnayan
correlative maugnayin
correspond tumutugma
correspondence pagsusulatan
correspondent kasulatan
corresponding nararapat
corresponds tumutugon
corridor koridor
corridors koridor
corroborate patunayan
corroboration pagkatotoo
corroborative nagpapatunay
corroboratory totoo
corrosion kaagnasan
corrupt sira
corrupted masama
corruptible pasama
corrupting nakasasamang
corruption katiwalian
corsage kurpinyo
corselet kutamaya
corset paha
corslet korset
cose masiyahan
cosier cozier
cosily maaliwalas
cosiness gaan
cosmetic kosmetiko
cosmetics pagpapaganda
cosmic kosmiko
cosmological kosmolohiko
cosmology kosmolohiya
cosmonaut kosmonawt
cosmopolitan kosmopolita
cosmos kosmos
Cossack Kosak
cosset magmahal
cost gastos
costeffective sulit
costing gastos
costive mahal
costliness kahalagahan
costly mahal
costume kasuutan
costumes costume
cosy maaliwalas
cot higaan
cote kulungan
coterie katipunan
cottager magbubukid
cotton koton
couches supa
cough ubo
coughing ubo
could maaari
council konseho
councillor konsehal
councillors councilors
councils konseho
counsel payo
counseled Pinayuhan
counselled Pinayuhan
counselling counseling
counsellor tagapayo
counsellors tagapayo
counselor tagapayo
counselors tagapayo
counsels payo
count bilangin
counted binibilang
countenance mukha
counteract humadlang
counterfeit huwad
countermand kontraorden
counterpane kubrekama
counterparts katapat
counterpoint kontrapunkta
counterpoise panimbang
counterrevolution kontraribulusyon
counterrevolutionaries kontrarebolusyonaryo
counters tagabilang
countersign hudyat
countess kondesa
counting bilangin
countries bansa
countrified pambukid
country bansa
countryman magkababayan
countrymen kababayan
countryside kabukiran
countrywoman probinsyana
counts nagbibilang
coup pagtatagumpay
coupe berlina
couple ikabit
coupled kaisa
coupling pagkabit
coupon kupon
courage tapang
courier tagadala
couriers courier
course kurso
court hukuman
courteous magalang
courting sumuyo
courtly magalang
courtship panliligaw
courtyard patyo
courtyards looban
cousin pinsan
cousins pinsan
covenant tipan
covenanted alkilado
cover pabalat
covered sakop
covereth nagtatakip
covering sumasaklaw
coverlet kubrekama
covers pabalat
covert taguan
coverts kasukalan
coverup takpan
